Date,Close/Last,Volume,Open,High,Low
06/11/2021,$310.77,2785057,$309.27,$311.24,$308.35
06/10/2021,$308.31,3286333,$307.65,$309.65,$306.14
06/09/2021,$307.34,3603743,$311.45,$312.98,$306.9
06/08/2021,$310.9,2913774,$311.27,$312.29,$308.98
06/07/2021,$309.96,3974785,$311.12,$312.33,$307.88
06/04/2021,$311.01,2638681,$312.11,$313.45,$309.35
06/03/2021,$311.43,2652535,$311,$312.925,$309.69
06/02/2021,$313.23,3380075,$315.48,$316.98,$312.41
06/01/2021,$316.31,3549754,$320.66,$321.255,$315.17
05/28/2021,$318.91,3197218,$320.37,$321.51,$318.85
05/27/2021,$318.77,3734767,$317.3,$320.41,$317.3
05/26/2021,$317.33,2881591,$317.81,$321.375,$316.68
05/25/2021,$316.75,3523348,$315.53,$317.1,$314.2474
05/24/2021,$314.84,2930620,$316.84,$318.74,$314.59
05/21/2021,$315.77,3920594,$317,$319.2837,$314.45
05/20/2021,$315.9,3854700,$314.89,$319.71,$314.89
05/19/2021,$314.45,5242148,$312,$314.75,$309.066
05/18/2021,$316.75,7010318,$320,$324.555,$314.7783
05/17/2021,$320.01,4381533,$321,$322.83,$315.31
05/14/2021,$323.63,3997955,$326.29,$327.32,$321.86
05/13/2021,$325.42,5161694,$319,$327.415,$318.69
05/12/2021,$317,5821980,$326.52,$328.8,$316.27
05/11/2021,$330.66,5500874,$337.55,$338,$328.21
05/10/2021,$341.12,4840551,$340.45,$345.69,$339.54
05/07/2021,$339.25,2998274,$336.68,$339.81,$335.53
05/06/2021,$337.58,3539581,$333.67,$337.81,$333.23
05/05/2021,$332.05,2014958,$334.25,$335.71,$331.08
05/04/2021,$332.77,3954400,$329.12,$333.23,$328.88
05/03/2021,$330.27,3683678,$326.28,$331.62,$325.68
04/30/2021,$323.67,3118747,$325.05,$325.835,$321.61
04/29/2021,$325.34,3261852,$321.71,$325.79,$321.08
04/28/2021,$319.71,2713438,$321.95,$322.96,$319.3
04/27/2021,$320.59,3335793,$320.5,$322.4688,$320.38
04/26/2021,$319.99,2848501,$323.68,$324,$319.315
04/23/2021,$323.89,3407497,$322.19,$325.53,$319.5754
04/22/2021,$321.46,4874998,$326.2,$326.43,$318.84
04/21/2021,$325.95,3740101,$324.96,$327.91,$323.885
04/20/2021,$323.96,4462880,$326,$327.69,$322.16
04/19/2021,$326.85,4494282,$326.49,$328.83,$325.44
04/16/2021,$328.08,6213121,$324.84,$328.67,$323.935
04/15/2021,$322.74,3508216,$320.21,$323.4,$320.05
04/14/2021,$320.02,3440628,$319.71,$322.7,$319.29
04/13/2021,$320.4,3635055,$320.53,$320.9,$317
04/12/2021,$320.79,3556832,$317.72,$321.31,$317.31
04/09/2021,$319.23,4607758,$315.37,$319.32,$314.75
04/08/2021,$314.43,4035628,$312.7,$315.2499,$310.59
04/07/2021,$312.47,3799321,$312.84,$315.14,$310.93
04/06/2021,$313.78,3988628,$313.61,$315.94,$313.13
04/05/2021,$315.4,4697182,$309.84,$315.85,$309.74
04/01/2021,$307.75,3923902,$306.88,$308.55,$303.89
03/31/2021,$305.25,4744061,$305.5,$308.02,$304.14
03/30/2021,$304.82,5045414,$301.65,$305.68,$300.035
03/29/2021,$302.2,4642897,$303.3,$305.55,$299.93
03/26/2021,$303.81,5865920,$297.34,$304,$296.03
03/25/2021,$297.18,5373520,$293.03,$297.8787,$292.455
03/24/2021,$292.75,4841970,$289.26,$296.779,$288.99
03/23/2021,$289.98,4801240,$289.61,$293.427,$288.94
03/22/2021,$288.94,5564677,$286.5,$290.33,$284.2
03/19/2021,$289.1,13729250,$283.64,$289.1,$282.43
03/18/2021,$283.16,4808075,$279.03,$285.47,$277.7601
03/17/2021,$280.03,5908380,$281.14,$283.88,$279.25
03/16/2021,$282.08,4458875,$278.54,$282.52,$277.65
03/15/2021,$278.54,4356177,$274.5,$279.6527,$274.34
03/12/2021,$273.1,4190460,$267.45,$273.81,$266.76
03/11/2021,$268.85,4371269,$268.6,$270.78,$267.2
03/10/2021,$266.24,3798409,$265.92,$268.75,$264.08
03/09/2021,$264.96,6625292,$262.73,$267.5685,$261.79
03/08/2021,$259.03,5037359,$254.23,$263.23,$252.52
03/05/2021,$253.52,6351823,$252.26,$254.2,$246.59
03/04/2021,$250.93,7154940,$256,$256.86,$247.1
03/03/2021,$257.36,4257543,$259.28,$260.5,$256.01
03/02/2021,$260.29,3740283,$261.68,$263.1099,$259.7701
03/01/2021,$261.62,4530280,$258.81,$262.48,$258.4739
02/26/2021,$258.34,7871183,$257.77,$260.24,$256.1105
02/25/2021,$255.25,6545422,$259.75,$260.9,$254.71
02/24/2021,$259.97,14512740,$263.23,$266.99,$254.03
02/23/2021,$267.24,12111050,$269.38,$269.67,$257.58
02/22/2021,$275.85,3995469,$278.21,$278.49,$273.63
02/19/2021,$279.64,4079946,$282.87,$283.91,$279.44
02/18/2021,$283.05,3531964,$280.8,$284.68,$279.83
02/17/2021,$280.92,3537815,$275.54,$281.79,$275.4
02/16/2021,$275.39,2873454,$277.01,$278.63,$274.88
02/12/2021,$277.51,2392184,$277.12,$278.71,$276.58
02/11/2021,$277.06,2595287,$277.93,$280.25,$276.01
02/10/2021,$278.69,2410575,$278.03,$278.93,$276.25
02/09/2021,$276.77,2507751,$279.66,$280.2,$276.62
02/08/2021,$280.03,3475827,$279.69,$280.4194,$276.8895
02/05/2021,$278.86,2389915,$280.29,$281.7599,$277.81
02/04/2021,$278.82,2975976,$274.25,$279.44,$274.25
02/03/2021,$274.17,2802674,$271.89,$275.72,$270.715
02/02/2021,$272.16,4111756,$270,$275.69,$269.99
02/01/2021,$270.07,3707825,$271.23,$272.65,$267.2533
01/29/2021,$270.82,4079485,$275.81,$277.06,$270.03
01/28/2021,$278.05,3462967,$276.17,$282.96,$274.93
01/27/2021,$274.05,4336987,$279.99,$280.8099,$273.08
01/26/2021,$282.6,2472211,$285.42,$285.65,$281.695
01/25/2021,$285.08,4025905,$283.85,$285.77,$281.42
01/22/2021,$284,4501941,$279.26,$285.08,$277.87
01/21/2021,$279.05,4401230,$276.22,$280.7,$275.67
01/20/2021,$274.3,3498412,$273.25,$277.21,$271.5
01/19/2021,$273.19,3615794,$278,$278,$273.02
01/15/2021,$275.59,5131741,$268.63,$276.39,$268
01/14/2021,$268.34,4641421,$274.5,$274.895,$267.67
01/13/2021,$274.05,3921418,$278.31,$280.48,$273.94
01/12/2021,$276.33,4030946,$271.11,$277.939,$270.655
01/11/2021,$271.23,3765227,$267.47,$273.37,$267.26
01/08/2021,$269.09,3757709,$267.35,$270.7325,$267
01/07/2021,$266.26,3833249,$266.95,$268.783,$266.17
01/06/2021,$267.57,3949198,$264.06,$269.77,$261.87
01/05/2021,$266.05,3822639,$262.66,$266.53,$262.26
01/04/2021,$263.92,5001983,$266.01,$266.4446,$261.06
12/31/2020,$265.62,2608139,$265.57,$265.95,$263.58
12/30/2020,$265.26,2511385,$266.11,$267.3,$264.92
12/29/2020,$266.19,2572074,$269.98,$270.46,$265.07
12/28/2020,$269.25,2633841,$272.17,$272.25,$269.24
12/24/2020,$270.92,1093947,$269.44,$271.36,$269.4
12/23/2020,$269.81,2337149,$270.06,$271,$268.2
12/22/2020,$270.04,3143451,$270.06,$271.36,$268.51
12/21/2020,$270.99,4339037,$268.56,$271.95,$265.88
12/18/2020,$270.45,9817032,$274.59,$275.74,$270.3
12/17/2020,$273.97,4247048,$272.16,$274.33,$271.3
12/16/2020,$269.59,4669578,$268.53,$270.75,$267.51
12/15/2020,$267.98,3756037,$267.51,$268.7628,$266.2
12/14/2020,$265.58,4576775,$266.14,$268.5999,$265.27
12/11/2020,$264.55,3454512,$263.36,$265.3618,$262.646
12/10/2020,$264.81,4234320,$264.08,$266.07,$262.11
12/09/2020,$265.58,4550125,$264.61,$265.7708,$262.25
12/08/2020,$261.72,5338142,$261.72,$262.5,$258.73
12/07/2020,$262.64,6378989,$263.5,$264.5,$261
12/04/2020,$263.99,7732829,$267.47,$268.73,$262.82
12/03/2020,$268.14,4168929,$270.63,$271.93,$267.14
12/02/2020,$271.1,4168645,$273.97,$274.11,$269.57
12/01/2020,$276.6,3944872,$278.73,$278.95,$275.55
11/30/2020,$277.41,4624131,$275.22,$277.76,$271.92
11/27/2020,$275.99,1625328,$275.24,$276.58,$274.36
11/25/2020,$273.96,3001748,$273.48,$274.74,$271.212
11/24/2020,$273.31,4775318,$274,$275.545,$272.57
11/23/2020,$271.4,3294219,$270.01,$273.689,$269.55
11/20/2020,$269.81,4112543,$271.45,$272.37,$268.87
11/19/2020,$270.93,3929422,$270.42,$272.38,$268.7
11/18/2020,$269.83,5122219,$270.5,$275.38,$269
11/17/2020,$272.47,8532219,$272.1,$273.529,$269.4001
11/16/2020,$279.57,5360160,$279.18,$281.29,$276.4
11/13/2020,$277.17,3941687,$276.42,$279.73,$275.26
11/12/2020,$276.24,3820310,$283,$283.6943,$273.84
