Date,Close/Last,Volume,Open,High,Low
06/10/2021,$22.89,3676569,$23.75,$23.97,$22.7
06/09/2021,$28,236684,$28.76,$29.9,$27.9
06/08/2021,$28.21,302615,$28.87,$30.26,$27.53
06/07/2021,$28.49,215486,$28.43,$28.925,$27.62
06/04/2021,$28.19,198585,$27.58,$28.84,$27.58
06/03/2021,$27.23,314837,$27.48,$27.81,$26.32
06/02/2021,$27.94,247017,$26.63,$27.94,$26.58
06/01/2021,$26.79,158489,$27.59,$28.5,$26.01
05/28/2021,$26.99,217783,$27.75,$29.53,$26.94
05/27/2021,$27.48,203873,$27.94,$28.29,$26.6
05/26/2021,$27.72,301545,$26.03,$28.335,$26.03
05/25/2021,$25.97,149605,$26.5,$27.08,$25.71
05/24/2021,$26.14,304972,$26.5,$27.13,$26.105
05/21/2021,$26.25,320911,$26.47,$26.77,$25.29
05/20/2021,$26.08,278459,$26.04,$27.6984,$25.92
05/19/2021,$25.51,231305,$24.58,$25.73,$24.1
05/18/2021,$25.79,401215,$24.58,$27.47,$23.45
05/17/2021,$23.82,294053,$24.88,$25.51,$23.45
05/14/2021,$25.61,387973,$24.02,$26.795,$23.43
05/13/2021,$23.68,426398,$25.04,$26.69,$22.69
05/12/2021,$24.44,384989,$24.66,$25.56,$23.84
05/11/2021,$25.27,584453,$23.64,$26.82,$23.34
05/10/2021,$25.05,509249,$26.8,$26.85,$24.63
05/07/2021,$26.79,478534,$27.77,$29.08,$26.68
05/06/2021,$26.58,303169,$26.8,$27.02,$25.4
05/05/2021,$27.1,269033,$27.95,$28.93,$26.53
05/04/2021,$27.47,361012,$28.15,$28.32,$26.57
05/03/2021,$28.82,331228,$30.51,$30.51,$28.5
04/30/2021,$29.92,246499,$30.3,$31.28,$29.63
04/29/2021,$30.88,313204,$32.75,$32.85,$29.86
04/28/2021,$32.87,205448,$32.95,$33.44,$32.1404
04/27/2021,$33.35,148309,$33.96,$34.49,$32.99
04/26/2021,$33.87,228239,$32.4,$34.08,$32.1872
04/23/2021,$32.33,132871,$31.99,$33.2,$31.45
04/22/2021,$31.85,273571,$31.66,$33.26,$30.9093
04/21/2021,$31.36,338146,$29.48,$31.5,$28.67
04/20/2021,$29.84,288742,$30.08,$30.7089,$28.7
04/19/2021,$30.56,396368,$32,$32.48,$29.33
04/16/2021,$32.74,295201,$33.68,$33.68,$32.01
04/15/2021,$33.65,292403,$34.79,$35.31,$33.4214
04/14/2021,$33.93,368909,$35.1,$37.1,$33.72
04/13/2021,$35.39,450803,$34.72,$36.19,$34.29
04/12/2021,$33.94,287447,$33.94,$34.195,$31.91
04/09/2021,$34.69,240314,$34.3,$34.98,$33.6
04/08/2021,$35.15,210132,$34.7,$36.3,$34.57
04/07/2021,$33.6,319103,$36.02,$37.32,$32.93
04/06/2021,$36.03,491310,$35.37,$38.22,$34.01
04/05/2021,$35.59,296265,$36,$37.27,$35
04/01/2021,$35.92,610603,$37.78,$40.67,$35.91
03/31/2021,$35.95,686919,$35.2,$37.83,$35.2
03/30/2021,$34.49,715103,$31.14,$36.09,$30
03/29/2021,$32.01,412668,$32.79,$33.3877,$31
03/26/2021,$32.47,631657,$35,$35.7399,$31
03/25/2021,$34.81,849158,$32.55,$34.945,$31.08
03/24/2021,$34.11,689183,$39.23,$39.23,$33.5781
03/23/2021,$38.38,404358,$41.79,$41.79,$37.83
03/22/2021,$41.18,370649,$42.98,$43.91,$39.6643
03/19/2021,$42.79,1613227,$38.46,$43.24,$36.61
03/18/2021,$38.23,543108,$39.98,$40.63,$36.91
03/17/2021,$40.59,533232,$39.16,$42,$37.1765
03/16/2021,$39.85,817581,$46.05,$46.46,$38.7
03/15/2021,$45.77,565345,$44.81,$45.98,$42.99
03/12/2021,$42.71,607581,$40.53,$42.97,$38.01
03/11/2021,$42.56,1189832,$38.58,$44,$38.51
03/10/2021,$36.34,1129328,$40.752,$42.6,$36.08
03/09/2021,$38.38,1717013,$33,$38.97,$32.5
03/08/2021,$30.25,1110250,$35.1,$35.47,$29.75
